position,Job_category,people_number,site,time
22989-机器学习算法工程师（上海）,技术类,1,上海,2019-04-08
22989-机器学习算法工程师（深圳总部）,技术类,1,深圳,2019-04-08
18428-银行业务测试工程师（深圳）,技术类,1,深圳,2019-04-08
30623-腾讯广告联盟广告商务经理（北京）,市场类,1,北京,2019-04-08
23295-互娱PGC内容策划经理,市场类,1,深圳,2019-04-08
TEG17-高级语音平台开发工程师,技术类,1,深圳,2019-04-08
PCG16-信息流商业化后台开发工程师（深圳）,技术类,2,深圳,2019-04-08
PCG10-QQ浏览器推荐算法工程师,技术类,2,深圳,2019-04-08
TME-Moo音乐/QQ音乐交互设计师（深圳）,设计类,1,深圳,2019-04-08
26787-策略分析经理（深圳）,市场类,1,深圳,2019-04-08
CSIG16-自动驾驶点云感知算法工程师（北京）,技术类,1,北京,2019-04-08
31504-高级运营开发工程师,技术类,2,深圳,2019-04-08
CDG-招聘经理（深圳）,职能类,1,深圳,2019-04-08
CSIG15-语音识别算法研究员,技术类,1,北京,2019-04-08
PCG10-数据分析产品经理,产品/项目类,1,深圳,2019-04-08
CSIG16-底图渲染引擎开发工程师,技术类,1,北京,2019-04-08
30628-30628-腾讯社交广告数据应用产品经理（深圳/上海）,产品/项目类,1,上海,2019-04-08
AQ-安全评估经理（深圳总部）,职能类,1,深圳,2019-04-08
AQ-安全评估经理（广州）,职能类,1,广州,2019-04-08
22989-专有云网络高级产品经理（深圳）,产品/项目类,3,深圳,2019-04-08
23872-综合商务运营经理,市场类,1,深圳,2019-04-08
22090-快报高级产品经理,产品/项目类,1,北京,2019-04-08
TME-全民K歌高级产品经理（用户增长）,产品/项目类,1,深圳,2019-04-08
15579-高级游戏技术美术（深圳）,设计类,1,深圳,2019-04-08
27193-互娱高级视觉设计师,设计类,1,深圳,2019-04-08
30624-腾讯广告饮料行业广告销售经理（上海）,市场类,1,上海,2019-04-08
25666-投标策略高级经理（深圳）,市场类,3,深圳,2019-04-08
28297-国漫/二次元项目高级运营经理（深圳）,产品/项目类,1,深圳,2019-04-08
PCG19-大数据开发工程师（北京）,技术类,1,北京,2019-04-08
17229-资深原画设计师,设计类,2,深圳,2019-04-08
15687-漫画主笔(深圳),设计类,1,深圳,2019-04-08
15581-华夏手游运营活动策划（深圳）,产品/项目类,1,深圳,2019-04-08
15851-游戏后台开发工程师（深圳）,技术类,1,深圳,2019-04-08
22989-腾讯云高级项目经理（深圳）,产品/项目类,1,深圳,2019-04-08
22989-腾讯云API高级研发工程师,技术类,2,深圳,2019-04-08
22989-腾讯云API开源工程师,技术类,2,深圳,2019-04-08
22989-云市场商家体系运营经理,产品/项目类,1,深圳,2019-04-08
22989-云市场SaaS生态拓展经理(深圳/北京/上海/广州/成都),市场类,1,上海,2019-04-08
22989-CDN产品架构师,产品/项目类,2,深圳,2019-04-08
WXG03-小程序推荐算法工程师,技术类,1,广州,2019-04-08
15575-《圣斗士星矢》高级特效设计师（成都）,设计类,1,成都,2019-04-08
30626-腾讯广告华南渠道销售经理（广州）,市场类,1,广州,2019-04-08
29477-IP采购经理,内容编辑类,1,北京,2019-04-08
